index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,13944501,8772674,6541887,20407916384,2.0133,1.91989,1.9257
BTree,1317517,1130850,1084362,2365640552,0.96325,1.07427,1.09145,LinearSearch,8
BTree,908325,910645,910424,2513674168,0.981451,1.00079,0.991799,LinearSearch,6
BTree,467456,466065,466911,2764350832,0.758432,0.759981,0.75738,LinearAVX,10
DynamicPGM,4095567,4077728,4058109,1700923308,3.04755,3.1821,3.13115,BinarySearch,256
DynamicPGM,4223517,4234375,4199668,1703722528,3.17893,3.19949,3.18549,BinarySearch,64
DynamicPGM,4121300,4120096,4116169,1701839468,3.20972,3.20831,3.20212,BinarySearch,128
LIPP,14049279,8913974,6849015,20407916384,1.36388,1.88356,1.83857
BTree,1340926,1174740,1080666,2365640552,0.93796,1.0554,1.05757,LinearSearch,8
BTree,940557,932629,932375,2513674168,0.95209,0.976385,0.984413,LinearSearch,6
BTree,483394,482792,480976,2764350832,0.745077,0.746392,0.74697,LinearAVX,10
DynamicPGM,3983026,3971022,3997845,1700923308,3.13426,3.17019,3.16687,BinarySearch,256
DynamicPGM,4174959,4157239,4319676,1703722528,3.22873,3.22409,3.15425,BinarySearch,64
DynamicPGM,4067781,4165410,4117348,1701839468,3.12392,3.14178,3.21243,BinarySearch,128
